#expid  ra     dec   ut  fil time secz  psf  sky  cloud  teff Object
1189661 311.0  -4.2 09:42  g   50 1.63  1.43  1.27  0.21  0.15 440.A.a
1189662 311.0  -0.5 09:43  g   50 1.70  1.61  1.34  0.23  0.10 440.B.a
1189663 314.1  -4.2 09:44  g   50 1.70  1.67  1.55  0.22  0.08 440.C.a
1189664 314.8  -0.9 09:46  g   50 1.80  1.98  1.70  0.22  0.05 440.D.a
1189665 317.2  -4.2 09:47  g   50 1.79  1.88  1.93  0.22  0.05 440.E.a
1189666 317.9  -0.9 09:49  g   50 1.90  1.91  2.15  0.27  0.03 440.F.a
1189667 311.0  -4.2 09:50  i   50 1.57  1.21  2.11 -0.21  0.08 440.A.a
1189668 311.0  -0.5 09:52  i   50 1.64  1.33  2.41 -0.14  0.05 440.B.a
1189669 333.8 -10.0 09:54  r   35 2.43  1.69  4.29  0.21  0.01 twilight1
1189670 333.0  -8.0 09:55  r   35 2.44  1.80  4.53  0.22  0.00 twilight2
1189671 332.3  -6.0 09:57  r   30 2.44  2.58  4.86  0.51  0.00 twilight3
1189672 333.8 -10.0 09:58  r   35 2.36  2.27  5.06  0.54  0.00 twilight1
1189673 333.0  -8.0 09:59  r   35 2.37  2.04  5.34  0.51  0.00 twilight2
1189674 332.3  -6.0 10:00  r   30 2.38  2.02  5.59  0.33  0.00 twilight3
MJD = 60034 (Mar 30/Mar 31)
