         pointing group          ra        dec  skip          SN               filename
          448.B.a   448     17.3965    4.29861     0           -           448.B.a.json
          448.C.a   448    13.80582     2.9991     0           -           448.C.a.json
          448.D.a   448    13.80698    6.09795     0           -           448.D.a.json
          448.E.a   448    17.41493    1.14976     0           -           448.E.a.json
          448.F.a   448    20.91554    2.79917     0           -           448.F.a.json
    468.F.2021kut   468   158.03605    6.96892     0     2021kut     468.F.2021kut.json
          474.A.a   474    189.6956      1.909     0           -           474.A.a.json
          474.B.a   474   185.77069    5.34091     0           -         474.B_1.a.json
          474.C.a   474   193.80578     2.9991     0           -           474.C.a.json
          474.D.a   474   193.80693    6.09795     0           -           474.D.a.json
          474.E.a   474   185.87163    3.17567     0           -           474.E.a.json
          474.F.a   474   196.90693    6.09795     0           -           474.F.a.json
          477.D.a   477   219.38646  12.573291     1           -           477.D.a.json
          477.E.a   477    215.9061    2.44253     1           -           477.E.a.json
          477.F.a   477   216.52296   15.59345     1           -           477.F.a.json
          477.A.a   477   211.225292  3.000000     0           -           477.A.a.json
          477.B.a   477   211.225292  6.100000     0           -           477.B.a.json
          477.C.a   477   214.325292  3.000000     0           -           477.C.a.json
          477.D.a   477   214.325292  6.100000     0           -           477.D.a.json
          477.E.a   477   217.425292  3.000000     0           -           477.E.a.json
          477.F.a   477   217.425292  6.100000     0           -           477.F.a.json
          494.A.a   494   326.17093    3.41856     0           -           494.A.a.json
          494.B.a   494   328.22209    6.51741     0           -           494.B.a.json
          494.C.a   494   330.78058     3.0187     0           -           494.C.a.json
          494.D.a   494   331.33173    6.11756     0           -           494.D.a.json
          494.E.a   494    334.1879     0.2831     0           -           494.E.a.json
   494.F.2021aabp   494  346.943166   9.259939     0    2021aabp    494.F.2021aabp.json
          494.F.a   494   334.44153    6.11756     1           -           494.F.a.json
          523.C.a   523   173.89575    8.61309     0           -           523.C.a.json
          523.D.a   523   173.24314   13.48619     0           -           523.D.a.json
          525.F.a   525       184.8        6.1     0           -           525.F.a.json
          525.C.a   525       184.5        9.7     0           -           525.C.a.json
          525.B.b   525       186.9        9.9     0           -           525.B.b.json
          525.F.b   525       187.8        7.2     0           -           525.F.b.json
          525.A.a   525       186.3       14.5     0           -           525.A.a.json
          525.D.a   525    183.2421   12.38668     0           -           525.D.a.json
          525.D.b   525    185.4421   12.38668     0           -           525.D.b.json
          525.E.a   525       186.6       12.3     0           -           525.E.a.json
          525.E.b   525       189.0       12.1     0           -           525.E.b.json
          525.A.b   525       188.5       14.5     0           -           525.A.b.json
          525.B.a   525       189.3        9.8     0           -           525.B.a.json
          525.C.b   525       191.5       12.2     0           -           525.C.b.json
    531.A.2021jvs   531   223.75141     6.6915     0     2021jvs     531.A.2021jvs.json
          531.A.a   531   227.49601   10.19641     1           -           531.A.a.json
          531.B.a   531   227.49726   13.29522     0           -           531.B.a.json
          531.C.a   531   230.66234   10.19641     0           -           531.C.a.json
          531.D.a   531    230.6636   13.29522     0           -           531.D.a.json
          531.E.a   531   234.97517   10.17828     0           -           531.E.a.json
          531.F.a   531   233.82997   13.29522     0           -           531.F.a.json
          544.A.a   544   318.69489    9.54018     0           -           544.A.a.json
          544.B.a   544   318.54936   13.28592     0           -           544.B.a.json
          544.C.a   544   321.86122    9.54018     0           -           544.C.a.json
          544.D.a   544   321.71491   12.63665     0           -           544.D.a.json
          544.E.a   544   325.07478    9.53941     0           -           544.E.a.json
          544.F.a   544   324.88125   12.63665     0           -           544.F.a.json
          550.A.a   550   359.94312    17.3936     0           -           550.A.a.json
          550.B.a   550   359.94458   20.49234     0           -           550.B.a.json
          550.C.a   550     3.22075    17.3936     0           -           550.C.a.json
          550.D.a   550     3.22246   20.99213     0           -           550.D.a.json
          550.E.a   550     6.49841    17.3936     0           -           550.E.a.json
          550.F.a   550     6.49988   20.49234     0           -           550.F.a.json
          575.A.a   575   189.36417   22.53169     0           -           575.A.a.json
          575.B.a   575   178.48851   24.62962     0           -           575.B.a.json
577.A.21inl_21lxb   577  195.868733  28.670807     0   21inl_lxb 577.A.21inl_21lxb.json
          577.A.a   577   196.18796   29.27652     1           -           577.A.a.json
          577.B.a   577   194.03777   21.38709     0           -           577.B.a.json
    583.2021kpu.a   583   231.09059   22.42031     0     2021kpu     583.2021kpu.a.json
          583.A.a   583   236.40958    17.3936     0           -           583.A.a.json
          583.B.a   583   236.41104   20.49234     0           -           583.B.a.json
          583.C.a   583   239.68869   20.49236     0           -           583.C.a.json
          583.E.a   583   235.48149   13.91824     0           -         583.E_1.a.json
          583.F.a   583   245.38154   20.49617     0           -           583.F.a.json
          600.A.a   600   357.44515   24.59058     0           -           600.A.a.json
          600.B.a   600   359.24698   27.68917     0           -           600.B.a.json
          600.C.a   600     1.19827   23.99084     0           -           600.C.a.json
          600.D.a   600     2.70044   27.68917     0           -           600.D.a.json
          600.E.a   600     6.15211   24.59058     0           -           600.E.a.json
          600.F.a   600     6.15394   27.68917     0           -           600.F.a.json
    629.A.2021lat   629   220.38288   24.21769     0     2021lat     629.A.2021lat.json
          632.A.a   632   238.76469   24.59058     0           -           632.A.a.json
          632.B.a   632   238.76653   27.68917     0           -           632.B.a.json
          632.C.a   632   241.86431   25.74505     0           -           632.C.a.json
          632.D.a   632   242.21998   27.68917     0           -           632.D.a.json
          632.E.a   632   245.67165   24.59058     0           -           632.E.a.json
          632.F.a   632   245.67348   27.68917     0           -           632.F.a.json
          674.E.a   674   210.89111   27.88745     0           -           674.E.a.json
          679.A.a   679   240.64809   32.20932     0           -           679.A.a.json
          679.B.a   679    240.6506   35.30769     0           -           679.B.a.json
          679.C.a   679   244.35917   32.20932     0           -           679.C.a.json
          679.D.a   679   244.36168   35.30769     0           -           679.D.a.json
          679.E.a   679    248.0703   32.20932     0           -           679.E.a.json
          679.F.a   679   248.07281   35.30769     0           -           679.F.a.json
          691.A.a   691   335.38236   31.78719     0           -           691.A.a.json
          691.B.a   691   335.38482   34.88557     0           -           691.B.a.json
          691.C.a   691   339.09344   31.78719     0           -           691.C.a.json
          691.D.a   691   339.09664    35.7368     0           -           691.D.a.json
          691.E.a   691   342.80457   31.78719     0           -           691.E.a.json
          691.F.a   691   342.80703   34.88557     0           -           691.F.a.json
          719.A.a   719   216.17261   38.98321     0           -           719.A.a.json
          719.B.a   719   215.98708   42.08125     0           -           719.B.a.json
          719.C.a   719   217.54223   33.99573     0           -           719.C.a.json
          719.D.a   719   220.16515   42.08131     0           -           719.D.a.json
          719.E.a   719   224.15053   38.98321     0           -           719.E.a.json
          719.F.a   719   224.34316   42.08131     0           -           719.F.a.json
             CDFS     -    52.65     -28.135       0           -           CDFS.gi.json
       GRB210919A     -    80.3097     1.3394      0           -        GRB210919A.json
     418.D.21agfq   418   164.271067   1.6281      0      21agfq                      -
     618.C.21aggu   618   137.734549  18.0364      0      21aggu                      -
          2019tsf     -   167.136667 -10.4017      0       19tsf                      -
    505.A.2021zby   505    44.439697  11.251092    0       21zby                      -
