progID			PI 			name		nights	
2021B-0909 		Sheppard	twi			1
2025A-587063	Kleyna		kleyna		2
2024A-755342	Shen		agn			6
2025A-316276	Clocchiatti	dosc		7.5
2025A-729671	Palmese		desirt		9
2025A-388357	Narayan		yse			7
2025A-697040	Newman		defsus		4.5
2025A-603790	Tan			dwarfs		1
2024B-441839	Rest		eta			3
2024B-893855	Brout		debass		3
