         assigned_program  t_dark t_twi1 t_twi2 t_twi3 t_down
 DDF                       1.9580 0.0000 0.0000 0.0000 0.2481
 DEBASS                    2.3606 0.0000 0.0000 0.0000 0.0000
 DESI                      3.5193 0.0000 0.0000 0.0000 0.0000
 EtaCar                    0.5701 0.0000 0.0000 0.0000 0.0000
 Shen                      0.2007 0.1469 0.0331 0.0000 0.0000
 YSE                       1.5889 0.0000 0.0000 0.0000 0.0000
 STANDARDS1                0.0533 0.0000 0.0000 0.0000 0.0000
 TECHSETUP1                0.0000 0.0000 0.1000 0.0000 0.0000
 total time used (hr)     10.2509 0.1469 0.1331 0.0000 0.2481
 total time avail. (hr)   10.2548 0.3085 0.3084    nan    nan
