         assigned_program  t_dark t_twi1 t_twi2 t_twi3 t_down
 DDF                       2.3076 0.0000 0.0000 0.0000 0.0000
 DEBASS                    0.7465 0.2442 0.1083 0.0000 0.0000
 DESI                      3.5194 0.0000 0.0000 0.0000 0.0000
 EtaCar                    1.3257 0.0000 0.0000 0.0000 0.0000
 Shen                      0.1653 0.0472 0.0000 0.0000 0.0000
 YSE                       2.2167 0.0000 0.0000 0.0000 0.0000
 eFEDS                     0.5417 0.0000 0.0000 0.0000 0.0000
 STANDARDS1                0.0000 0.0500 0.0272 0.0000 0.0000
 TECHSETUP1                0.0000 0.0000 0.0494 0.0000 0.0000
 UNKNOWN1                  0.0000 0.0000 0.0000 0.0796 0.0000
 total time used (hr)     10.8229 0.3414 0.1850 0.0796 0.0000
 total time avail. (hr)   10.8446 0.3114 0.3123    nan    nan
