         pointing  group        RA       Dec  skip        SN               filename       field detname  tilenumber
          415.A.a    415 123.11854 -12.01966     1       NaN           415.A.a.json        415A     NaN        <NA>
          415.A.b    415 129.50749  -1.33955     1       NaN           415.A.b.json       415Ab     NaN        <NA>
          415.B.a    415 133.71430  -0.53830     1       NaN           415.B.a.json        415B     NaN        <NA>
          415.A.a    415 134.27616   0.28482     0       NaN           415.A.a.json        415A     NaN        <NA>
          415.B.a    415 134.25118   3.33427     0       NaN           415.B.a.json        415B     NaN        <NA>
          415.C.a    415 137.34463   0.24775     0       NaN           415.C.a.json        415C     NaN        <NA>
          415.D.a    415 137.31977   3.36790     0       NaN           415.D.a.json        415D     NaN        <NA>
          415.E.a    415 140.53280   0.17263     0       NaN           415.E.a.json        415E     NaN        <NA>
          415.F.a    415 140.52100   3.35919     0       NaN           415.F.a.json        415F     NaN        <NA>
          418.A.a    418 154.95787  -4.32500     1       NaN           418.A.a.json        418A     NaN        <NA>
          418.F.a    418 162.23881   0.36487     1       NaN           418.F.a.json        418F     NaN        <NA>
          418.A.a    418 155.25000  -4.20000     0       NaN           418.A.a.json        418A     NaN        <NA>
          418.B.a    418 155.25000  -1.10000     0       NaN           418.B.a.json        418B     NaN        <NA>
          418.C.a    418 158.35000  -4.20000     0       NaN           418.C.a.json        418C     NaN        <NA>
          418.D.a    418 164.09242   2.03784     1       NaN           418.D.a.json        418D     NaN        <NA>
          418.E.a    418 161.46003  -4.20007     0       NaN           418.E.a.json        418E     NaN        <NA>
          418.F.a    418 162.45227  -1.09996     0       NaN           418.F.a.json        418F     NaN        <NA>
     418.D.21agfq    418 164.27107   1.62810     0  2021agfq                    NaN    2021agfq     NaN        <NA>
          423.B.a    423 192.02585  -1.82954     1       NaN           423.B.a.json        423B     NaN        <NA>
          423.C.a    423 195.42972  -3.84983     1       NaN           423.C.a.json        423C     NaN        <NA>
    423.E.2021fxy    423 198.62008 -19.44426     1   2021fxy     423.E.2021fxy.json     2021fxy     NaN        <NA>
  423.E.a.2021fxy    423 198.62008 -19.44426     1   2021fxy   423.E.a.2021fxy.json     2021fxy     NaN        <NA>
          423.A.a    423 189.31609  -4.19949     0       NaN           423.A.a.json        423A     NaN        <NA>
          423.B.a    423 190.70000  -1.10000     0       NaN           423.B.a.json        423B     NaN        <NA>
          423.C.a    423 193.80000  -4.20000     0       NaN           423.C.a.json        423C     NaN        <NA>
          423.D.a    423 193.80000  -1.10000     0       NaN           423.D.a.json        423D     NaN        <NA>
          423.E.a    423 196.91001  -4.20001     0       NaN           423.E.a.json        423E     NaN        <NA>
          423.F.a    423 196.90000  -1.10000     0       NaN           423.F.a.json        423F     NaN        <NA>
          428.A.a    428 225.35406  -3.78353     0       NaN           428.A.a.json        428A     NaN        <NA>
          428.B.a    428 223.44015   3.77055     0       NaN           428.B.a.json        428B     NaN        <NA>
          428.C.a    428 228.45739  -3.78353     0       NaN           428.C.a.json        428C     NaN        <NA>
          428.D.a    428 228.45854  -0.68467     0       NaN           428.D.a.json        428D     NaN        <NA>
          428.E.a    428 231.56073  -3.78353     0       NaN           428.E.a.json        428E     NaN        <NA>
          428.F.a    428 231.56188  -0.68467     0       NaN           428.F.a.json        428F     NaN        <NA>
          440.A.a    440 310.95141  -4.19825     0       NaN           440.A.a.json        440A     NaN        <NA>
          440.B.a    440 310.95278  -0.48766     0       NaN           440.B.a.json        440B     NaN        <NA>
          440.C.a    440 314.05470  -4.19825     0       NaN           440.C.a.json        440C     NaN        <NA>
          440.D.a    440 314.75592  -0.89946     0       NaN           440.D.a.json        440D     NaN        <NA>
          440.E.a    440 317.15803  -4.19825     0       NaN           440.E.a.json        440E     NaN        <NA>
          440.F.a    440 317.85926  -0.89946     0       NaN           440.F.a.json        440F     NaN        <NA>
          448.A.a    448  10.69588   2.69921     0       NaN           448.A.a.json        448A     NaN        <NA>
          448.B.a    448  17.39650   4.29861     0       NaN           448.B.a.json        448B     NaN        <NA>
          448.C.a    448  13.80582   2.99910     0       NaN           448.C.a.json        448C     NaN        <NA>
          448.D.a    448  13.80698   6.09795     0       NaN           448.D.a.json        448D     NaN        <NA>
          448.E.a    448  17.41493   1.14976     0       NaN           448.E.a.json        448E     NaN        <NA>
          448.F.a    448  20.91554   2.79917     0       NaN           448.F.a.json        448F     NaN        <NA>
    468.F.2021kut    468 158.03605   6.96892     0   2021kut     468.F.2021kut.json     2021kut     NaN        <NA>
          474.A.a    474 189.69560   1.90900     0       NaN           474.A.a.json        474A     NaN        <NA>
          474.B.a    474 185.77069   5.34091     0       NaN         474.B_1.a.json        474B     NaN        <NA>
          474.C.a    474 193.80578   2.99910     0       NaN           474.C.a.json        474C     NaN        <NA>
          474.D.a    474 193.80693   6.09795     0       NaN           474.D.a.json        474D     NaN        <NA>
          474.E.a    474 185.87163   3.17567     0       NaN           474.E.a.json        474E     NaN        <NA>
          474.F.a    474 196.90693   6.09795     0       NaN           474.F.a.json        474F     NaN        <NA>
          477.D.a    477 219.38646  12.57329     1       NaN           477.D.a.json        477D     NaN        <NA>
          477.E.a    477 215.90610   2.44253     1       NaN           477.E.a.json        477E     NaN        <NA>
          477.F.a    477 216.52296  15.59345     1       NaN           477.F.a.json        477F     NaN        <NA>
          477.A.a    477 211.22529   3.00000     0       NaN           477.A.a.json        477A     NaN        <NA>
          477.B.a    477 211.22529   6.10000     0       NaN           477.B.a.json        477B     NaN        <NA>
          477.C.a    477 214.32529   3.00000     0       NaN           477.C.a.json        477C     NaN        <NA>
