         assigned_program  t_dark t_twi1 t_twi2 t_twi3 t_down
 DDF                       2.1993 0.0000 0.0000 0.0000 0.0000
 DEBASS                    1.9187 0.2942 0.0750 0.0000 0.0000
 DESI                      3.5215 0.0000 0.0000 0.0000 0.0000
 EtaCar                    0.4285 0.0000 0.0000 0.0000 0.0000
 Shen                      0.1924 0.0000 0.0000 0.0000 0.0000
 YSE                       1.8778 0.0000 0.0000 0.0000 0.0000
 eFEDS                     0.5319 0.0000 0.0000 0.0000 0.0000
 STANDARDS1                0.0000 0.0000 0.0833 0.0000 0.0000
 STANDARDS2                0.0000 0.0000 0.0667 0.0000 0.0000
 TECHSETUP1                0.0000 0.0000 0.0494 0.0000 0.0000
 total time used (hr)     10.6701 0.2942 0.2744 0.0000 0.0000
 total time avail. (hr)   10.6700 0.3097 0.3103    nan    nan
