         assigned_program  t_dark t_twi1 t_twi2 t_twi3 t_down
 DDF                       2.2222 0.0000 0.0000 0.0000 0.0000
 DEBASS                    1.2865 0.0000 0.0000 0.0000 0.0000
 DESI                      3.2424 0.0000 0.0000 0.0000 0.0000
 Shen                      0.2174 0.0000 0.0000 0.0000 0.0000
 YSE                       3.4979 0.0000 0.0000 0.0000 0.0000
 eFEDS                     0.5479 0.0000 0.0000 0.0000 0.0000
 STANDARDS1                0.0000 0.1167 0.0619 0.0000 0.0000
 STANDARDS2                0.0500 0.0000 0.0000 0.0000 0.0000
 TECHSETUP1                0.0000 0.0000 0.0494 0.0000 0.0000
 total time used (hr)     11.0643 0.1167 0.1114 0.0000 0.0000
 total time avail. (hr)   11.0902 0.3151 0.3165    nan    nan
