         assigned_program  t_dark t_twi1 t_twi2 t_twi3 t_down
 DDF                       3.7960 0.0000 0.0514 0.0289 0.0000
 DEBASS                    0.8438 0.0000 0.0000 0.0000 0.0000
 DESI                      3.1035 0.0000 0.0000 0.0000 0.0000
 Shen                      0.0764 0.1303 0.0000 0.0000 0.0000
 YSE                       3.6110 0.1583 0.1083 0.0000 0.0000
 STANDARDS1                0.0000 0.0000 0.1167 0.0000 0.0000
 TECHSETUP1                0.0000 0.0000 0.0494 0.0000 0.0000
 total time used (hr)     11.4306 0.2886 0.3258 0.0289 0.0000
 total time avail. (hr)   11.4397 0.3231 0.3251    nan    nan
