         assigned_program  t_dark t_twi1 t_twi2 t_twi3 t_down
 DDF                       2.3160 0.0000 0.0000 0.0000 0.0000
 DEBASS                    1.5361 0.0000 0.0000 0.0000 0.0000
 DESI                      3.5646 0.0000 0.0000 0.0000 0.0000
 EtaCar                    0.5458 0.0000 0.0000 0.0000 0.0000
 Shen                      0.2583 0.1483 0.0000 0.0000 0.0000
 YSE                       1.7750 0.0000 0.0000 0.0000 0.0000
 STANDARDS1                0.0000 0.0000 0.0833 0.0000 0.0000
 STANDARDS2                0.0569 0.0000 0.0000 0.0000 0.0000
 TECHSETUP1                0.0000 0.0000 0.0328 0.0000 0.0000
 total time used (hr)     10.0528 0.1483 0.1161 0.0000 0.0000
 total time avail. (hr)   10.0752 0.3092 0.3088    nan    nan
