  expid     ra   dec     ut fil  time  secz   psf   sky  cloud  teff             Object                   utdate ut_decimal  twi       program  blockID
 978062  104.7 -31.0  23:29   r     5  1.00  1.04  4.32   0.09  0.02           pointing  2021-03-27T23:29:00.000    -0.5167    2    TECHSETUP1        1
 978063  104.7 -31.0  23:30   r    30  1.00  1.17  3.99   0.08  0.02           pointing  2021-03-27T23:30:00.000    -0.5000    2    TECHSETUP1        1
 978064  130.8   0.0  23:34   z    15  1.25  1.05  1.94   0.08  0.12     SDSSJ0843-0000  2021-03-27T23:34:00.000    -0.4333    2    STANDARDS1        2
 978065  130.8   0.0  23:34   i    15  1.25  1.04  3.06  -0.18  0.04     SDSSJ0843-0000  2021-03-27T23:34:00.000    -0.4333    2    STANDARDS1        2
 978066  130.8   0.0  23:35   r    15  1.25  1.08  3.64   0.16  0.03     SDSSJ0843-0000  2021-03-27T23:35:00.000    -0.4167    2    STANDARDS1        2
 978067  130.8   0.0  23:36   g    15  1.25  1.22  4.24   0.17  0.01     SDSSJ0843-0000  2021-03-27T23:36:00.000    -0.4000    2    STANDARDS1        2
 978068   90.0 -66.6  23:39   i    90  1.27  1.38  2.20  -0.05  0.06              S-CVZ  2021-03-27T23:39:00.000    -0.3500    1          Shen        3
 978069   90.0 -66.6  23:41   i    90  1.27  1.07  1.94  -0.06  0.12              S-CVZ  2021-03-27T23:41:00.000    -0.3167    1          Shen        3
 978070   90.0 -66.6  23:43   r    70  1.28  1.18  2.54   0.11  0.06              S-CVZ  2021-03-27T23:43:00.000    -0.2833    1          Shen        3
 978071   90.0 -66.6  23:45   r    70  1.28  1.23  2.45   0.11  0.06              S-CVZ  2021-03-27T23:45:00.000    -0.2500    1          Shen        3
 978072   90.0 -66.6  23:46   g    80  1.28  1.40  3.42   0.19  0.02              S-CVZ  2021-03-27T23:46:00.000    -0.2333    1          Shen        3
 978073   90.0 -66.6  23:48   g    80  1.28  1.32  3.39   0.17  0.02              S-CVZ  2021-03-27T23:48:00.000    -0.2000    0          Shen        4
 978074   52.6 -28.1  23:51   i    90  1.61  1.39  1.75   0.08  0.08              SN-C3  2021-03-27T23:51:00.000    -0.1500    0          Shen        4
 978075   52.6 -28.1  23:53   i    90  1.63  1.50  1.67   0.09  0.08              SN-C3  2021-03-27T23:53:00.000    -0.1167    0          Shen        4
 978076   52.6 -28.1  23:55   r    70  1.64  1.62  2.70   0.15  0.03              SN-C3  2021-03-27T23:55:00.000    -0.0833    0          Shen        4
 978077   52.6 -28.1  23:57   r    70  1.65  1.31  2.69   0.15  0.04              SN-C3  2021-03-27T23:57:00.000    -0.0500    0          Shen        4
 978078   52.6 -28.1  23:59   g    80  1.67  1.43  3.84   0.22  0.01              SN-C3  2021-03-27T23:59:00.000    -0.0167    0          Shen        4
 978079   52.6 -28.1  00:01   g    80  1.68  1.57  3.85   0.22  0.01              SN-C3  2021-03-28T00:01:00.000     0.0167    0          Shen        4
 978080   88.0 -50.8  00:04   g    15  1.15  1.49  3.25   0.16  0.02         2021clw_P1  2021-03-28T00:04:00.000     0.0667    0        DEBASS        5
 978081   88.0 -50.8  00:04   r    15  1.15  1.32  2.11   0.09  0.07         2021clw_P1  2021-03-28T00:04:00.000     0.0667    0        DEBASS        5
 978082   88.0 -50.8  00:05   i    15  1.15  1.39  1.11  -0.16  0.15         2021clw_P1  2021-03-28T00:05:00.000     0.0833    0        DEBASS        5
 978083   88.0 -50.8  00:06   z    15  1.15  1.07  0.69   0.08  0.35         2021clw_P1  2021-03-28T00:06:00.000     0.1000    0        DEBASS        5
 978084   91.5 -45.6  00:07   g    15  1.10  1.28  3.21   0.14  0.03         2021gmk_P1  2021-03-28T00:07:00.000     0.1167    0        DEBASS        5
 978085   91.5 -45.6  00:08   r    15  1.10  1.13  2.08   0.10  0.10         2021gmk_P1  2021-03-28T00:08:00.000     0.1333    0        DEBASS        5
