name,order,json,program,propid,prio,dur,ra,dec,secz18_beg,secz18_end,secz2_beg,secz2_end,t_start,t_end,slew_s,secz_i,secz_f,coord,early_limit,late_limit,eff_prio,current_time,t_start_hidden,t_end_hidden,cumul_program_time
2025azf_P1,16,2025azf_P1,DEBASS,2020B-0053,0,2.4 min,136.2 deg,1.0 deg,21:11,03:01,21:11,03:19,23:41,23:50,373,1.17,1.17,"<SkyCoord (ICRS): (ra, dec) in deg
    (136.2, 1.)>",2025-03-08 00:11:51.236,2025-03-08 06:19:39.380,9999.0,2025-03-08 09:41:02.872,2025-03-08 02:41:31.750,2025-03-08 02:50:09.750,0
2025bqz_P1,17,2025bqz_P1,DEBASS,2020B-0053,0,2.4 min,137.1 deg,-9.5 deg,21:11,03:33,21:11,03:50,23:50,23:53,52,1.07,1.07,"<SkyCoord (ICRS): (ra, dec) in deg
    (137.1, -9.5)>",2025-03-08 00:11:51.236,2025-03-08 06:50:12.734,9999.0,2025-03-08 09:41:02.872,2025-03-08 02:50:09.750,2025-03-08 02:53:25.934,0
2025aoz_P2,18,2025aoz_P2,DEBASS,2020B-0053,1,2.4 min,151.5 deg,7.2 deg,21:49,03:40,21:28,04:00,23:53,23:57,77,1.29,1.29,"<SkyCoord (ICRS): (ra, dec) in deg
    (151.5, 7.2)>",2025-03-08 00:28:49.766,2025-03-08 07:00:23.852,9999.0,2025-03-08 09:41:02.872,2025-03-08 02:53:25.934,2025-03-08 02:57:07.368,0
CO1,19,COSMOS,AGN,2024A-755342,0,14.6 min,150.0 deg,2.2 deg,21:25,03:52,21:11,04:11,23:57,00:12,40,1.2,1.19,"<SkyCoord (ICRS): (ra, dec) in deg
    (150., 2.2)>",2025-03-08 00:11:51.236,2025-03-08 07:11:42.872,9999.0,2025-03-08 09:41:02.872,2025-03-08 02:57:07.368,2025-03-08 03:12:23.849,0
2025yz_P3,20,2025yz_P3,DEBASS,2020B-0053,2,2.4 min,154.6 deg,-5.3 deg,21:22,04:32,21:11,04:50,00:12,00:15,48,1.12,1.12,"<SkyCoord (ICRS): (ra, dec) in deg
    (154.6, -5.3)>",2025-03-08 00:11:51.236,2025-03-08 07:50:11.539,9999.0,2025-03-08 09:41:02.872,2025-03-08 03:12:23.849,2025-03-08 03:15:36.200,0
2025beu_P1,21,2025beu_P1,DEBASS,2020B-0053,0,2.4 min,153.7 deg,-14.3 deg,21:11,04:50,21:11,05:07,00:15,00:18,48,1.05,1.05,"<SkyCoord (ICRS): (ra, dec) in deg
    (153.7, -14.3)>",2025-03-08 00:11:51.236,2025-03-08 08:07:10.069,9999.0,2025-03-08 09:41:02.872,2025-03-08 03:15:36.200,2025-03-08 03:18:49.095,0
2024inv,22,2024inv,YSE,2024B-763968,0,3.0 min,166.6 deg,11.5 deg,23:07,04:23,22:45,04:44,00:18,00:23,92,1.45,1.44,"<SkyCoord (ICRS): (ra, dec) in deg
    (166.6, 11.5)>",2025-03-08 01:45:47.101,2025-03-08 07:44:32.029,9999.0,2025-03-08 09:41:02.872,2025-03-08 03:18:49.095,2025-03-08 03:23:21.443,0
OMLApex,23,3_OMLApex.250307_i_15-dithpos,DOSC,2025A-316276,0,36.8 min,166.7 deg,-25.0 deg,21:28,06:01,21:11,06:19,00:23,01:01,109,1.06,1.02,"<SkyCoord (ICRS): (ra, dec) in deg
    (166.7, -25.)>",2025-03-08 00:11:51.236,2025-03-08 09:19:35.796,9999.0,2025-03-08 09:41:02.872,2025-03-08 03:23:21.443,2025-03-08 04:01:58.743,0
OMLApex',24,2_OMLApex.250307_r_10-dithpos,DOSC,2025A-316276,0,24.4 min,166.7 deg,-25.0 deg,21:28,06:01,21:11,06:19,01:01,01:26,29,1.02,1.01,"<SkyCoord (ICRS): (ra, dec) in deg
    (166.7, -25.)>",2025-03-08 00:11:51.236,2025-03-08 09:19:35.796,9999.0,2025-03-08 09:41:02.872,2025-03-08 04:01:58.743,2025-03-08 04:26:51.743,0
OMLApex'',25,1_OMLApex.250307_g_5-dithpos,DOSC,2025A-316276,0,11.9 min,166.7 deg,-25.0 deg,21:28,06:01,21:11,06:19,01:26,01:39,29,1.01,1.0,"<SkyCoord (ICRS): (ra, dec) in deg
    (166.7, -25.)>",2025-03-08 00:11:51.236,2025-03-08 09:19:35.796,9999.0,2025-03-08 09:41:02.872,2025-03-08 04:26:51.743,2025-03-08 04:39:14.743,0
2025clk_P1,26,2025clk_P1,DEBASS,2020B-0053,0,2.4 min,177.6 deg,13.2 deg,23:59,04:58,23:35,05:21,01:39,01:43,116,1.41,1.41,"<SkyCoord (ICRS): (ra, dec) in deg
    (177.6, 13.2)>",2025-03-08 02:35:34.788,2025-03-08 08:21:52.795,9999.0,2025-03-08 09:41:02.872,2025-03-08 04:39:14.743,2025-03-08 04:43:34.977,0
525.A.a,27,525,YSE,2024B-763968,0,34.6 min,187.0 deg,11.1 deg,00:27,05:45,00:05,06:08,01:43,02:19,49,1.43,1.36,"<SkyCoord (ICRS): (ra, dec) in deg
    (187., 11.1)>",2025-03-08 03:05:00.239,2025-03-08 09:08:16.776,9999.0,2025-03-08 09:41:02.872,2025-03-08 04:43:34.977,2025-03-08 05:19:00.713,0
2024kce,28,2024kce,YSE,2024B-763968,0,3.0 min,187.4 deg,8.3 deg,00:16,05:59,23:55,06:20,02:19,02:22,35,1.31,1.3,"<SkyCoord (ICRS): (ra, dec) in deg
    (187.4, 8.3)>",2025-03-08 02:55:57.023,2025-03-08 09:20:43.698,9999.0,2025-03-08 09:41:02.872,2025-03-08 05:19:00.713,2025-03-08 05:22:35.934,0
2025dby_P1,29,2025dby_P1,DEBASS,2020B-0053,0,1.0 min,195.4 deg,10.2 deg,00:57,06:22,00:34,06:36,02:22,02:24,46,1.4,1.39,"<SkyCoord (ICRS): (ra, dec) in deg
    (195.4, 10.2)>",2025-03-08 03:34:25.691,2025-03-08 09:36:34.325,9999.0,2025-03-08 09:41:02.872,2025-03-08 05:22:35.934,2025-03-08 05:24:22.799,0
2025dbu_P1,30,2025dbu_P1,DEBASS,2020B-0053,0,1.0 min,196.3 deg,1.9 deg,00:28,06:36,00:10,06:36,02:24,02:26,47,1.25,1.25,"<SkyCoord (ICRS): (ra, dec) in deg
    (196.3, 1.9)>",2025-03-08 03:10:39.749,2025-03-08 09:36:34.325,9999.0,2025-03-08 09:41:02.872,2025-03-08 05:24:22.799,2025-03-08 05:26:10.165,0
2025bco,31,2025bco,YSE,2024B-763968,0,1.2 min,198.9 deg,-0.4 deg,00:32,06:36,00:14,06:36,02:26,02:27,36,1.24,1.24,"<SkyCoord (ICRS): (ra, dec) in deg
    (198.9, -0.4)>",2025-03-08 03:14:03.455,2025-03-08 09:36:34.325,9999.0,2025-03-08 09:41:02.872,2025-03-08 05:26:10.165,2025-03-08 05:27:58.801,0
DESIRT,32,DESIRT_G15_g,DESIRT,2025A-729671,0,20.2 min,217.7 deg,-0.9 deg,01:45,06:36,01:27,06:36,02:27,02:49,70,1.49,1.39,"<SkyCoord (ICRS): (ra, dec) in deg
    (217.7, -0.9)>",2025-03-08 04:27:37.084,2025-03-08 09:36:34.325,9999.0,2025-03-08 09:41:02.872,2025-03-08 05:27:58.801,2025-03-08 05:49:21.173,0
