         assigned_program  t_dark t_twi1 t_twi2 t_twi3 t_down
 DDF                       2.1090 0.0000 0.0000 0.0000 0.0000
 DEBASS                    0.9171 0.1192 0.0000 0.0000 0.0000
 DESI                      3.1604 0.0000 0.0000 0.0000 0.0000
 Martini                   0.3542 0.1178 0.0000 0.0000 0.0000
 Shen                      0.2042 0.0000 0.0000 0.0000 0.0000
 YSE                       3.6274 0.0000 0.0000 0.0000 0.0000
 eFEDS                     0.5736 0.0000 0.0000 0.0000 0.0000
 STANDARDS1                0.0000 0.0000 0.0833 0.0000 0.0000
 TECHSETUP1                0.0000 0.0000 0.0328 0.0000 0.0000
 total time used (hr)     10.9458 0.2369 0.1161 0.0000 0.0000
 total time avail. (hr)   10.9382 0.3126 0.3137    nan    nan
