         assigned_program  t_dark t_twi1 t_twi2 t_twi3 t_down
 DDF                       2.1868 0.1694 0.0997 0.0000 0.0000
 DEBASS                    2.1508 0.1081 0.0000 0.0000 0.0000
 DESI                      3.6021 0.0000 0.0000 0.0000 0.0000
 Shen                      0.2007 0.0000 0.0000 0.0000 0.0000
 YSE                       2.4318 0.0000 0.0000 0.0000 0.0000
 STANDARDS1                0.0000 0.0500 0.0439 0.0000 0.0000
 TECHSETUP1                0.0000 0.0000 0.0328 0.0000 0.0000
 total time used (hr)     10.5722 0.3275 0.1764 0.0000 0.0000
 total time avail. (hr)   10.5912 0.3091 0.3096    nan    nan
