         assigned_program  t_dark t_twi1 t_twi2 t_twi3 t_down
 DDF                       2.1938 0.0000 0.0000 0.0000 0.0000
 DEBASS                    1.6049 0.0000 0.0811 0.0000 0.0000
 DESI                      3.5014 0.0000 0.0000 0.0000 0.0000
 EtaCar                    0.5451 0.0000 0.0000 0.0000 0.0000
 Shen                      0.0931 0.0886 0.0000 0.0000 0.0000
 YSE                       1.6361 0.1667 0.1083 0.0000 0.0000
 eFEDS                     0.5729 0.0000 0.0000 0.0000 0.0000
 STANDARDS1                0.0000 0.0728 0.0000 0.0000 0.0000
 TECHSETUP1                0.0000 0.0000 0.1000 0.0000 0.0000
 total time used (hr)     10.1472 0.3281 0.2894 0.0000 0.0000
 total time avail. (hr)   10.1659 0.3087 0.3085    nan    nan
