# Date  ID  RA  Dec  dt  airmass_best  airmass_ok  airmass_acceptable  jsonfilename
2021-04-14  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
2021-04-14  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
2021-04-17  COSMOS-DDF-SEQ-A  +150.0  +3.1    0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_A.json
2021-04-17  COSMOS-DDF-SEQ-B  149.22  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_B.json
2021-04-17  COSMOS-DDF-SEQ-C  150.78  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_C.json
2021-04-17  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
2021-04-17  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
2021-04-20  COSMOS-DDF-SEQ-A  +150.0  +3.1    0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_A.json
2021-04-20  COSMOS-DDF-SEQ-B  149.22  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_B.json
2021-04-20  COSMOS-DDF-SEQ-C  150.78  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_C.json
2021-04-20  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
2021-04-20  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
2021-04-24  COSMOS-DDF-SEQ-A  +150.0  +3.1    0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_A.json
2021-04-24  COSMOS-DDF-SEQ-B  149.22  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_B.json
2021-04-24  COSMOS-DDF-SEQ-C  150.78  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_C.json
2021-04-24  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
2021-04-24  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
2021-04-26  COSMOS-DDF-SEQ-A  +150.0  +3.1    0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_A.json
2021-04-26  COSMOS-DDF-SEQ-B  149.22  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_B.json
2021-04-26  COSMOS-DDF-SEQ-C  150.78  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_C.json
2021-04-26  DECaPSEast-DDF-A  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_A.json
2021-04-26  DECaPSEast-DDF-B  270.89  -29.53  0.27 h  1.2  1.5  1.6  decapseast_ddf_B.json
2021-04-28  COSMOS-DDF-SEQ-A  +150.0  +3.1    0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_A.json
2021-04-28  COSMOS-DDF-SEQ-B  149.22  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_B.json
2021-04-28  COSMOS-DDF-SEQ-C  150.78  +1.75   0.50 h  1.2  1.5  1.6  cosmos_ddf_seq_C.json
