         assigned_program t_dark  t_twi  t_downtime t_down t_twi1 t_twi2 t_twi3
 DDF                      4.2083    NaN         NaN 0.0000 0.2750 0.1789 0.0000
 DEBASS                   0.1039    NaN         NaN 0.0000 0.0000 0.0000 0.0000
 YSE                      0.2937    NaN         NaN 0.0000 0.0000 0.0000 0.0000
 TECHSETUP1               0.0000    NaN         NaN 0.0000 0.0000 0.0000 0.2333
 UNKNOWN1                 1.4354    NaN         NaN 0.0000 0.0000 0.0000 0.0000
 UNKNOWN2                 0.3246    NaN         NaN 0.0000 0.0000 0.0000 0.0000
 UNKNOWN3                 1.6160    NaN         NaN 0.0000 0.0000 0.0000 0.0000
 UNKNOWN4                 0.5264    NaN         NaN 0.0000 0.2500 0.2500 0.1289
