         assigned_program  t_dark t_twi1 t_twi2 t_twi3 t_down
 DDF                       2.1896 0.0000 0.0000 0.0000 0.0000
 DEBASS                    2.1819 0.0643 0.0000 0.0000 0.0000
 DESI                      3.6424 0.0000 0.0000 0.0000 0.0000
 Shen                      0.1236 0.0854 0.0000 0.0000 0.0000
 YSE                       1.6667 0.0000 0.0000 0.0000 0.0000
 eFEDS                     0.5403 0.0000 0.0000 0.0000 0.0000
 STANDARDS1                0.0000 0.0000 0.0500 0.0000 0.0000
 STANDARDS2                0.0000 0.0569 0.0000 0.0000 0.0000
 TECHSETUP1                0.0000 0.0000 0.0494 0.0000 0.0000
 total time used (hr)     10.3444 0.2067 0.0994 0.0000 0.0000
 total time avail. (hr)   10.3418 0.3084 0.3085    nan    nan
