Code,Target-Name,RA,DEC,Equinox,comment,lii,bii,eclon,eclat,ilon,ilat
FMa01,Field Ma 01,21:20:06.02, -18:55:28.4,J2000,2025-03-31 sunrise field: ilon=0 ilat=1,30.79986,-41.03240,316.55504,-3.2,0,1
FMa02,Field Ma 02,21:22:26.94, -20:38:15.7,J2000,2025-03-31 sunrise field: ilon=0 ilat=0,28.87963,-42.11718,316.55504,-5.0,0,0
FMa03,Field Ma 03,21:24:51.06, -22:20:55.6,J2000,2025-03-31 sunrise field: ilon=0 ilat=-1,26.89356,-43.16884,316.55504,-6.8,0,-1
FMa04,Field Ma 04,21:32:10.18, -21:47:00.9,J2000,2025-03-31 sunrise field: ilon=1 ilat=1,28.33266,-44.62467,318.35504,-6.8,1,1
FMa05,Field Ma 05,21:29:42.97, -20:04:37.9,J2000,2025-03-31 sunrise field: ilon=1 ilat=0,30.34568,-43.55240,318.35504,-5.0,1,0
FMa06,Field Ma 06,21:27:18.93, -18:22:07.4,J2000,2025-03-31 sunrise field: ilon=1 ilat=-1,32.28722,-42.44605,318.35504,-3.2,1,-1
FMa07,Field Ma 07,21:34:29.27, -17:47:56.4,J2000,2025-03-31 sunrise field: ilon=2 ilat=1,33.83940,-43.84160,320.15505,-3.2,2,1
FMa08,Field Ma 08,21:36:56.25, -19:30:10.5,J2000,2025-03-31 sunrise field: ilon=2 ilat=0,31.87732,-44.97101,320.15505,-5.0,2,0
FMa09,Field Ma 09,21:39:26.36, -21:12:17.0,J2000,2025-03-31 sunrise field: ilon=2 ilat=-1,29.83766,-46.06550,320.15505,-6.8,2,-1
