         assigned_program  t_dark t_twi1 t_twi2 t_twi3 t_down
 DDF                       2.2243 0.1167 0.1497 0.0000 0.0000
 DEBASS                    1.3972 0.0650 0.0625 0.0000 0.0000
 DESI                      3.4174 0.0000 0.0000 0.0000 0.0000
 EtaCar                    0.2958 0.0000 0.0000 0.0000 0.0000
 Martini                   0.4104 0.0000 0.0000 0.0000 0.0000
 Shen                      0.1236 0.0889 0.0000 0.0000 0.0000
 YSE                       3.1979 0.0000 0.0000 0.0000 0.0000
 TECHSETUP1                0.0000 0.0000 0.0833 0.0000 0.0000
 total time used (hr)     11.0667 0.2706 0.2956 0.0000 0.0000
 total time avail. (hr)   11.0270 0.3140 0.3152    nan    nan
