         assigned_program  t_dark t_twi1 t_twi2 t_twi3 t_down
 DEBASS                    2.4324 0.0000 0.0000 0.0000 0.0000
 Martini                   0.0000 0.0606 0.0000 0.0000 0.0000
 STANDARDS1                0.1500 0.0847 0.0000 0.0000 0.0000
 STANDARDS2                0.1214 0.0000 0.0000 0.0000 0.0000
 STANDARDS3                0.0000 0.1178 0.0300 0.0000 0.0000
 TECHSETUP1                0.0000 0.0000 0.1500 0.0000 0.0000
 UNKNOWN1                  0.4115 0.0000 0.0000 0.0000 0.0000
 UNKNOWN2                  0.0969 0.0000 0.0000 0.0000 0.0000
 UNKNOWN3                  1.3629 0.0000 0.0000 0.0000 0.0000
 UNKNOWN4                  1.1154 0.0000 0.0000 0.0000 0.0000
 UNKNOWN5                  0.3179 0.0000 0.0000 0.0000 0.0000
 UNKNOWN6                  0.7342 0.0000 0.0000 0.0000 0.0000
 UNKNOWN7                  3.1717 0.0000 0.0000 0.0000 0.0000
 UNKNOWN8                  0.9700 0.0646 0.0000 0.0000 0.0000
 total time used (hr)     10.8843 0.3276 0.1800 0.0000 0.0000
 total time avail. (hr)   10.9152 0.3123 0.3133    nan    nan
