         assigned_program  t_dark t_twi1 t_twi2 t_twi3 t_down
 DDF                       2.2056 0.0000 0.0000 0.0000 0.0000
 DEBASS                    1.8476 0.0000 0.0000 0.0000 0.0000
 DESI                      3.5160 0.0000 0.0000 0.0000 0.0000
 EtaCar                    0.4847 0.0000 0.0000 0.0000 0.0000
 Shen                      0.2417 0.1483 0.0000 0.0000 0.0000
 YSE                       1.9872 0.0858 0.0000 0.0000 0.0000
 STANDARDS1                0.0000 0.0167 0.0272 0.0000 0.0000
 STANDARDS2                0.1381 0.0000 0.0000 0.0000 0.0000
 TECHSETUP1                0.0000 0.0000 0.0328 0.0000 0.0000
 total time used (hr)     10.4208 0.2508 0.0600 0.0000 0.0000
 total time avail. (hr)   10.4270 0.3085 0.3087    nan    nan
