         assigned_program  t_dark t_twi1 t_twi2 t_twi3 t_down
 DDF                       2.4490 0.0000 0.0000 0.0000 0.0000
 DEBASS                    1.7521 0.0000 0.0000 0.0000 0.0000
 DESI                      3.5187 0.0000 0.0000 0.0000 0.0000
 Shen                      0.0681 0.1303 0.0000 0.0000 0.0000
 YSE                       2.1160 0.0000 0.0000 0.0000 0.0000
 eFEDS                     0.5319 0.0000 0.0000 0.0000 0.0000
 STANDARDS1                0.0000 0.0333 0.0272 0.0000 0.0000
 STANDARDS2                0.0672 0.0286 0.0000 0.0000 0.0000
 TECHSETUP1                0.0000 0.0000 0.0494 0.0000 0.0000
 total time used (hr)     10.5031 0.1922 0.0767 0.0000 0.0000
 total time avail. (hr)   10.5102 0.3087 0.3091    nan    nan
