         assigned_program  t_dark t_twi1 t_twi2 t_twi3 t_down
 DDF                       2.2132 0.0997 0.0000 0.0000 0.0000
 DEBASS                    1.2415 0.0000 0.0000 0.0000 0.2786
 DESI                      3.4461 0.0000 0.0000 0.0000 2.1556
 Martini                   0.4172 0.0000 0.0000 0.0000 0.0000
 Shen                      0.2090 0.0000 0.0000 0.0000 0.0000
 YSE                       3.5279 0.0000 0.0000 0.0000 2.2856
 SHEN                      0.1167 0.0000 0.0000 0.0000 0.0000
 TECHSETUP1                0.0000 0.0092 0.0092 0.0000 0.0000
 total time used (hr)     11.1717 0.1089 0.0092 0.0000 4.7197
 total time avail. (hr)   11.1504 0.3162 0.3177    nan    nan
