         assigned_program  t_dark t_twi1 t_twi2 t_twi3 t_down
 DDF                       2.2911 0.0000 0.0000 0.0000 0.0738
 DEBASS                    1.1409 0.1275 0.0000 0.0000 0.0738
 DESI                      3.1349 0.0000 0.0000 0.0000 0.0738
 EtaCar                    0.0661 0.0000 0.0000 0.0000 0.0338
 Shen                      0.2828 0.0000 0.0000 0.0000 0.0738
 YSE                       3.6892 0.0000 0.0000 0.0000 0.0000
 eFEDS                     0.6128 0.0000 0.0000 0.0000 0.0698
 STANDARDS1                0.0000 0.0667 0.0453 0.0000 0.0000
 TECHSETUP1                0.0000 0.0000 0.0494 0.0000 0.0000
 total time used (hr)     11.2178 0.1942 0.0947 0.0000 0.3987
 total time avail. (hr)   11.2075 0.3174 0.3190    nan    nan
