         assigned_program  t_dark t_twi1 t_twi2 t_twi3 t_down
 DDF                       2.1819 0.0000 0.0000 0.0000 0.0000
 DEBASS                    1.7389 0.1192 0.0000 0.0000 0.0000
 DESI                      3.1958 0.0000 0.0000 0.0000 0.0000
 Martini                   0.1667 0.1153 0.0000 0.0000 0.0000
 Shen                      0.4042 0.0000 0.0000 0.0000 0.0000
 YSE                       3.2097 0.0000 0.0000 0.0000 0.0000
 STANDARDS1                0.0000 0.0500 0.0272 0.0000 0.0000
 STANDARDS2                0.0000 0.0000 0.1000 0.0000 0.0000
 TECHSETUP1                0.0000 0.0000 0.0494 0.0000 0.0000
 total time used (hr)     10.8972 0.2844 0.1767 0.0000 0.0000
 total time avail. (hr)   10.8920 0.3120 0.3130    nan    nan
