         assigned_program  t_dark t_twi1 t_twi2 t_twi3 t_down
 DDF                       3.3153 0.0000 0.0000 0.0000 0.0000
 DEBASS                    0.9799 0.1192 0.0000 0.0000 0.0000
 DESI                      2.9340 0.0000 0.0000 0.0000 0.0000
 EtaCar                    0.8951 0.0000 0.0000 0.0000 0.0000
 Shen                      0.2507 0.0000 0.0000 0.0000 0.0000
 YSE                       3.0083 0.1583 0.1775 0.0000 0.0000
 STANDARDS1                0.0000 0.0000 0.1167 0.0000 0.0000
 TECHSETUP1                0.0000 0.0000 0.0494 0.0000 0.0000
 total time used (hr)     11.3833 0.2775 0.3436 0.0000 0.0000
 total time avail. (hr)   11.3728 0.3213 0.3232    nan    nan
