Code,Target-Name,RA,DEC,Equinox,comment,lii,bii,eclon,eclat,ilon,ilat
FMa01,Field Ma 01,21:31:56.49, -18:00:11.5,J2000,2025-04-03 sunrise field: ilon=0 ilat=1,33.27953,-43.34740,319.51479,-3.2,0,1
FMa02,Field Ma 02,21:34:22.45, -19:42:31.4,J2000,2025-04-03 sunrise field: ilon=0 ilat=0,31.32464,-44.46843,319.51479,-5.0,0,0
FMa03,Field Ma 03,21:36:51.55, -21:24:43.7,J2000,2025-04-03 sunrise field: ilon=0 ilat=-1,29.29440,-45.55482,319.51479,-6.8,0,-1
FMa04,Field Ma 04,21:44:05.86, -20:49:29.3,J2000,2025-04-03 sunrise field: ilon=1 ilat=1,30.84521,-46.98509,321.31479,-6.8,1,1
FMa05,Field Ma 05,21:41:33.98, -19:07:33.2,J2000,2025-04-03 sunrise field: ilon=1 ilat=0,32.90169,-45.87541,321.31479,-5.0,1,0
FMa06,Field Ma 06,21:39:05.20, -17:25:29.4,J2000,2025-04-03 sunrise field: ilon=1 ilat=-1,34.87638,-44.73031,321.31479,-3.2,1,-1
FMa07,Field Ma 07,21:46:11.44, -16:50:01.2,J2000,2025-04-03 sunrise field: ilon=2 ilat=1,36.54739,-46.09198,323.11480,-3.2,2,1
FMa08,Field Ma 08,21:48:42.86, -18:31:49.2,J2000,2025-04-03 sunrise field: ilon=2 ilat=0,34.55445,-47.26274,323.11480,-5.0,2,0
FMa09,Field Ma 09,21:51:17.33, -20:13:29.5,J2000,2025-04-03 sunrise field: ilon=2 ilat=-1,32.47279,-48.39741,323.11480,-6.8,2,-1
