         assigned_program  t_dark t_twi1 t_twi2 t_twi3 t_down
 DDF                       2.8090 0.0000 0.0000 0.0000 0.0000
 DEBASS                    0.7917 0.0629 0.0000 0.0000 0.0000
 DESI                      3.6597 0.0000 0.0000 0.0000 0.0000
 Shen                      0.2257 0.0000 0.0000 0.0000 0.0000
 YSE                       3.3722 0.1667 0.0667 0.0000 0.0000
 eFEDS                     0.5312 0.0000 0.0000 0.0000 0.0000
 STANDARDS1                0.0000 0.0833 0.0286 0.0000 0.0000
 STANDARDS2                0.0000 0.0000 0.1083 0.0000 0.0000
 TECHSETUP1                0.0000 0.0000 0.0494 0.0000 0.0000
 total time used (hr)     11.3896 0.3129 0.2531 0.0000 0.0000
 total time avail. (hr)   11.4009 0.3221 0.3240    nan    nan
