         assigned_program  t_dark t_twi1 t_twi2 t_twi3 t_down
 DDF                       2.3042 0.0000 0.0000 0.0000 0.0508
 DEBASS                    1.2984 0.0296 0.0000 0.0000 0.0508
 DESI                      2.9758 0.0000 0.0000 0.0000 0.0508
 EtaCar                    0.5518 0.0000 0.0000 0.0000 0.0278
 Martini                   0.4139 0.0000 0.0000 0.0000 0.0000
 Shen                      0.2848 0.0000 0.0000 0.0000 0.0508
 YSE                       3.3843 0.0000 0.0000 0.0000 0.0000
 eFEDS                     0.0508 0.0000 0.0000 0.0000 0.0508
 STANDARDS1                0.0000 0.1167 0.0119 0.0000 0.0000
 TECHSETUP1                0.0000 0.0000 0.0494 0.0000 0.0000
 total time used (hr)     11.2640 0.1463 0.0614 0.0000 0.2817
 total time avail. (hr)   11.2612 0.3186 0.3203    nan    nan
