         assigned_program  t_dark t_twi1 t_twi2 t_twi3 t_down
 DDF                       2.8987 0.1733 0.0000 0.0000 0.8250
 DEBASS                    0.7208 0.0000 0.0000 0.0000 0.0000
 DESI                      3.7278 0.0000 0.0000 0.0000 0.0000
 Shen                      0.0000 0.1653 0.0331 0.0000 0.0000
 YSE                       3.6008 0.0000 0.0000 0.0000 0.6078
 eFEDS                     0.5229 0.0000 0.0000 0.0000 0.0000
 TECHSETUP1                0.0000 0.0000 0.1000 0.0000 0.0000
 total time used (hr)     11.4711 0.3386 0.1331 0.0000 1.4328
 total time avail. (hr)   11.4746 0.3241 0.3261    nan    nan
